"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","GDPHRWKD","TOT","IDX2015","A","2017",101.958414,
"CAN","GDPHRWKD","TOT","IDX2015","A","2018",101.996538,
"CAN","GDPHRWKD","TOT","IDX2015","A","2019",102.848075,
"CAN","GDPHRWKD","TOT","IDX2015","A","2020",110.772065,
"CAN","GDPHRWKD","TOT","IDX2015","A","2021",104.465477,
"FRA","GDPHRWKD","TOT","IDX2015","A","2017",102.395091,
"FRA","GDPHRWKD","TOT","IDX2015","A","2018",102.814627,
"FRA","GDPHRWKD","TOT","IDX2015","A","2019",103.215736,
"FRA","GDPHRWKD","TOT","IDX2015","A","2020",103.736551,
"FRA","GDPHRWKD","TOT","IDX2015","A","2021",102.187438,
"DEU","GDPHRWKD","TOT","IDX2015","A","2017",103.162111,
"DEU","GDPHRWKD","TOT","IDX2015","A","2018",103.375684,
"DEU","GDPHRWKD","TOT","IDX2015","A","2019",104.162791,
"DEU","GDPHRWKD","TOT","IDX2015","A","2020",105.18509,
"DEU","GDPHRWKD","TOT","IDX2015","A","2021",106.100411,
"ITA","GDPHRWKD","TOT","IDX2015","A","2017",100.335718,
"ITA","GDPHRWKD","TOT","IDX2015","A","2018",100.323292,
"ITA","GDPHRWKD","TOT","IDX2015","A","2019",100.82174,
"ITA","GDPHRWKD","TOT","IDX2015","A","2020",103.876571,
"ITA","GDPHRWKD","TOT","IDX2015","A","2021",102.57374,
"JPN","GDPHRWKD","TOT","IDX2015","A","2017",101.057367,
"JPN","GDPHRWKD","TOT","IDX2015","A","2018",101.582134,
"JPN","GDPHRWKD","TOT","IDX2015","A","2019",102.659468,
"JPN","GDPHRWKD","TOT","IDX2015","A","2020",101.361752,
"JPN","GDPHRWKD","TOT","IDX2015","A","2021",102.430048,"E"
"GBR","GDPHRWKD","TOT","IDX2015","A","2017",101.429445,
"GBR","GDPHRWKD","TOT","IDX2015","A","2018",101.908738,
"GBR","GDPHRWKD","TOT","IDX2015","A","2019",102.375673,
"GBR","GDPHRWKD","TOT","IDX2015","A","2020",103.558338,
"GBR","GDPHRWKD","TOT","IDX2015","A","2021",101.732968,
"USA","GDPHRWKD","TOT","IDX2015","A","2017",101.201253,
"USA","GDPHRWKD","TOT","IDX2015","A","2018",102.3422,
"USA","GDPHRWKD","TOT","IDX2015","A","2019",103.581713,
"USA","GDPHRWKD","TOT","IDX2015","A","2020",107.111176,
"USA","GDPHRWKD","TOT","IDX2015","A","2021",108.386615,
"OECD","GDPHRWKD","TOT","IDX2015","A","2017",102.176022,
"OECD","GDPHRWKD","TOT","IDX2015","A","2018",103.171411,
"OECD","GDPHRWKD","TOT","IDX2015","A","2019",104.344574,
"OECD","GDPHRWKD","TOT","IDX2015","A","2020",108.205217,
"OECD","GDPHRWKD","TOT","IDX2015","A","2021",107.340082,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2017",102.174531,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2018",102.9426,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2019",104.006709,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2020",105.306113,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2021",105.599606,
